Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_unassigned	3.05435766232259	Responder	2.80812813938283	0.07775989643932954	16.7902254496846	0.122744682325921	0.782497349827746
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Porphyromonadaceae.g_Barnesiella	3.38021124171161	Responder	3.12750074687161	0.07775989643932954	17.8726808914874	0.122744682325921	0.782497349827746
k_Bacteria.p_Bacteroidetes.c_unassigned.o_unassigned.f_unassigned.g_unassigned	2.82390874094432	Responder	2.62888011866756	0.07775989643932954	16.024699613979	0.122744682325921	0.782497349827746
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiaceae_1.g_Anaerosporobacter	3.60205999132796	Responder	3.37552102822098	0.019254406332042808	18.6096440811699	0.0319112047696388	0.782452571527378
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_IV.g_Mahella	2.90308998699194	Responder	2.62751292883404	0.019254406332042808	16.2877304131248	0.0319112047696388	0.782452571527378
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Clostridiales_Incertae_Sedis_XII.g_Fusibacter	2.66900678095858	Responder	2.4614422206466	0.07775989643932954	15.5101357154484	0.122744682325921	0.782497349827746
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_unassigned	4.69137622880337	Responder	4.15758567273942	0.033894853524689274	1.5482403204769	0.0571428571428571	0.782452571527378
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Anaerotruncus	3.49600659888004	Responder	3.14222142649231	0.03231291124324413	2.26916904201633	0.049745990721503	0.782452571527378
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Hydrogenoanaerobacterium	3.30102999566398	Responder	2.9134316251443	0.07775989643932954	17.609647687894	0.122744682325921	0.782497349827746
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Oscillibacter	4.37045140442245	Responder	3.98742661737045	0.07709987174354196	2.58906381462527	0.114285714285714	0.782497349827746
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Ruminococcus	4.71377046220251	Responder	4.44031620366622	0.033894853524689274	5.92747080630407	0.0571428571428571	0.782452571527378
k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_unassigned	4.7481880270062	Responder	4.37931143844635	0.033894853524689274	2.77172951056785	0.0571428571428571	0.782452571527378
k_Bacteria.p_Firmicutes.c_unassigned.o_unassigned.f_unassigned.g_unassigned	2.52287874528034	Responder	2.36861849152229	0.024768490009319046	2.73672036421011	0.0613688291394022	0.782452571527378
k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Oxalobacteraceae.g_Oxalobacter	2.60205999132796	Responder	2.42961696913466	0.07775989643932954	15.2877484464746	0.122744682325921	0.782497349827746
k_Bacteria.p_Proteobacteria.c_Deltaproteobacteria.o_Desulfovibrionales.f_Desulfovibrionaceae.g_Bilophila	2.17609125905568	Nonresponder	2.43139962998939	0.06619257972219339	-13.8727710567342	0.102470434859749	0.782497349827746
k_Bacteria.p_unassigned.c_unassigned.o_unassigned.f_unassigned.g_unassigned	4.73930857615659	Responder	4.46712939459672	0.033894853524689274	5.70745521997998	0.0571428571428571	0.782452571527378
