Row.names	v1	response	LDA	p_value	log2_FC	Pvalue	fdr
k_Bacteria.p_Actinobacteria	4.44247976906445		NA	-	0.850081308322654	0.808865613239999	0.909973814894999
k_Bacteria.p_Bacteroidetes	5.1103652106913		NA	-	-0.529354744530649	0.393939393939394	0.728382171469115
k_Bacteria.p_Firmicutes	5.92759275794924		NA	-	-0.00238819189805929	0.699134199134199	0.909973814894999
k_Bacteria.p_Fusobacteria	2		NA	-	1.58467401940828	1	1
k_Bacteria.p_Lentisphaerae	1.52287874528034		NA	-	11.7031826224323	0.404656761927286	0.728382171469115
k_Bacteria.p_Proteobacteria	3.83463260633609		NA	-	-0.132585436395134	0.148829147839297	0.669731165276836
k_Bacteria.p_Spirochaetes	0		NA	-	NA	NA	NA
k_Bacteria.p_Synergistetes	1.82390874094432		NA	-	12.7029662668557	0.404656761927286	0.728382171469115
k_Bacteria.p_TM7	0		NA	-	NA	NA	NA
k_Bacteria.p_unassigned	4.49461833616811	Responder	4.54485457661055	0.06508095865779166	3.91770240841543	0.0776483099927933	0.669731165276836
k_Bacteria.p_Verrucomicrobia	2.52287874528034		NA	-	-0.321917275039726	0.720417367981172	0.909973814894999
